Çàõâàò;We mobilized less than §Y$VAL$§W% of potential recruits.\n;X;X;X;X;X;X;;
RECRUITED_PERCENTAGE_MORE_THAN;We mobilized more than §Y$VAL$§W% of potential recruits.\n;X;X;X;X;X;X;;
SEPARATISM_TECH;Separatism;X;X;X;X;X;X;;
INC_RES_TECH;Research points;X;X;X;X;X;X;;
TOTAL_POPS_NOT_TR;Less than §Y$VAL$§W population in $WHERE$.\n;X;X;X;X;X;X;;
TOTAL_POPS_TR;At least §Y$VAL$§W population in $WHERE$.\n;X;X;X;X;X;X;;
IS_CRIME_NOT_HIGHER_THAN_EDU_TR;More points for §Yeducation§W than for management.\n;X;X;X;X;X;X;;
IS_CRIME_HIGHER_THAN_EDU_TR;More points for §Ycontrol§W than for education.\n;X;X;X;X;X;X;;
ANY_AT_WAR_STARTS;This country is at war with;X;X;X;X;X;X;;
REBEL_POWER_LESS_THAN;The threat of insurrection is less than §Y$VAL$§W percent.;X;X;X;X;X;X;;
REBEL_POWER_MORE_THAN;The threat of rebellion is greater than §Y$VAL$§W percent.;X;X;X;X;X;X;;
POP_TYPE_PERC_NOT;$NAME$ is less than §Y$VAL$%§W.\n;X;X;X;X;X;X;;
POP_TYPE_PERC;$NAME$ is greater than §Y$VAL$%§W.\n;X;X;X;X;X;X;;
MAJORITY_IS;Most of the population;X;X;X;X;X;X;;
MAJORITY_IS_NOT;The majority of the population does not;X;X;X;X;X;X;;
ICL;Iceland;X;X;X;X;X;X;;
ICL_ADJ;Iceland.;X;X;X;X;X;X;;
ISR;Israel;X;X;X;X;X;X;;
ISR_ADJ;Jewish.;X;X;X;X;X;X;;
BYZ;Byzantium;X;X;X;X;X;X;;
BYZ_ADJ;Byzantine.;X;X;X;X;X;X;;
BYZ_conservative;Glucksburg supporters;X;X;X;X;X;X;;
BYZ_reactionary;Palaeologus supporters;X;X;X;X;X;X;;
BYZ_liberal;Hellenistic Party;X;X;X;X;X;X;;
BYZ_anarcho_liberal;Principate supporters;X;X;X;X;X;X;;
BYZ_socialist;Federation of Independent Trade Unions;X;X;X;X;X;X;;
BYZ_communist;Communist party;X;X;X;X;X;X;;
BYZ_fascist;National Sovereign Party;X;X;X;X;X;X;;
ISR_conservative;Herut;X;X;X;X;X;X;;
ISR_reactionary;Mafdal;X;X;X;X;X;X;;
ISR_liberal;Kadima;X;X;X;X;X;X;;
ISR_anarcho_liberal;Moves;X;X;X;X;X;X;;
ISR_socialist;Avoda;X;X;X;X;X;X;;
ISR_communist;Mapam;X;X;X;X;X;X;;
ISR_fascist;Ha-tikva;X;X;X;X;X;X;;
ICL_conservative;Independence Party;X;X;X;X;X;X;;
ICL_reactionary;Traditionalist party;X;X;X;X;X;X;;
ICL_liberal;Progressive Party;X;X;X;X;X;X;;
ICL_anarcho_liberal;United right;X;X;X;X;X;X;;
ICL_socialist;United left;X;X;X;X;X;X;;
ICL_communist;Marxist Labor Party;X;X;X;X;X;X;;
ICL_fascist;Nordic Party of Life;X;X;X;X;X;X;;
ANY_CORE_LIMITED;For any kernel, this is \n;X;X;X;X;X;X;;
ANY_CORE_NORMAL;All major areas will get \n;X;X;X;X;X;X;;
POLITICS_NOT_BEFORE;We cannot change the ruling party again before §Y$DATE$§W.;X;X;X;X;X;X;;
POLITICS_NOT_ACCEPTED;Our form of government does not allow §Y$WHICH$§W parties.;X;X;X;X;X;X;;
RELEASE_PRESTIGE;Prestige: ;X;X;X;X;X;X;;
RELEASE_INFAMY;Disgrace: ;X;X;X;X;X;X;;
PROV3247;Western hawaii;X;X;X;X;X;X;;
PROV3248;Cape Magellan West;X;X;X;X;X;X;;
EVTDESC1002;A group of liberals, angered by the lack of economic freedom and the slow pace of parliamentary reforms, formed a new faction in the $COUNTRY_ADJ$ politics.Libertarians are the revolutionary vanguard of liberal ideology, and they will go to any lengths to bring about the realization of the ideas of economic and political freedom both in $COUNTRY$ and abroad.;X;X;X;X;X;X;;
SOMEONE_HAS_ADDED_STATUS_QUO;We cannot add a military target if someone added a military target §YStatus Quo§W;X;X;X;X;X;X;;
NO_INTERVENTION_NOT_ENOUGH_OPINION;To intervene, a designated military target must have at least §Y$REQLEVEL$§W opinion of us;X;X;X;X;X;X;;
peking_convention_title;Beijing Convention;X;X;X;X;X;X;;
peking_convention_desc;Since theNerchinsk Agreement (1689), the Russian Empire recognized the Aigun River and the mountains as natural borders between Russia and China.In the middle of the 19th century, the Russians crossed these borders in order to seize vast lands between the mountains and the Amur.Later, the Western Alliance fought the Second Opium War against China, burned down the summer palaces of the Chinese Emperor, and entered Beijing.A sly Major General namedNikolay Ignatiev was convinced that only Russian support for China would force the Allies to leave Beijing.The price for this support was the conclusion of the Beijing Convention confirming the annexation of the territory between the Ussuri River and the Pacific to Russia.Thus, Russia acquired 350,000 square miles of territory without firing a single shot.;X;X;X;X;X;X;;
russian_vladivostok_title;Ruler of the east;X;X;X;X;X;X;;
russian_vladivostok_desc;"In July 1860 the city of Vladivostok, or ""Ruler of the East"", was founded near the Korean border.It became the main Russian commercial port and shipyard.Ultimately, he became the reason for the construction of an intercontinental railway to connect with this scientific, cultural and large industrial center.The king dreamed that the city would become the center connecting the west with the east.Perhaps the railway to Vladivostok will eventually replace the Suez Canal as an exchange point for goods and raw materials between East and West?";X;X;X;X;X;X;;
EVTNAME80000;Beijing Convention;X;X;X;X;X;X;;
EVTDESC80000;The Russians demanded that we agree to the cession of our legal territory.It's outrageous, but we have no choice but to accept their demands.If we do this, then they must guarantee our independence from the rest of the European powers.Besides, we are too weak to fight if the Russians decide this issue by force.;X;X;X;X;X;X;;
EVTOPTA80000;We have no choice, we sign an agreement.;X;X;X;X;X;X;;
EVTOPTB80000;Let the Russians go to hell!;X;X;X;X;X;X;;
EVTNAME80001;China rejected convention;X;X;X;X;X;X;;
EVTDESC80001;Ungrateful Chinese would rather watch their cities burn than agree to our legal demands! We may have to teach wits to our stupid Asian neighbors.;X;X;X;X;X;X;;
EVTOPTA80001;Where the Russian flag has already been raised, there it should never be lowered!;X;X;X;X;X;X;;
OL_SIEGES;An occupation;X;X;X;X;X;X;;
IS_NOT_BIG_PROD_TRIG;Small producer §Y$VAL$§W.\n;X;X;X;X;X;X;;
IS_BIG_PROD_TRIG;Large manufacturer §Y$VAL$§W.\n;X;X;X;X;X;X;;
HAVE_LOWER_RANK_THAN;Power rank less ;X;X;X;X;X;X;;
HAVE_HIGHER_RANK_THAN;Power rank greater than or equal to ;X;X;X;X;X;X;;
MUST_NEGOTIATE_WITH_WAR_LEADER_STATUS_QUO;We have to negotiate with the §YWar leader§W, because we are the object of military claims and our leader has put forward §YStatus Quo§W.;X;X;X;X;X;X;;
law_of_guarantees_title;Warranty Law;X;X;X;X;X;X;;
law_of_guarantees_desc;On May 13, 1871, the Italian side unilaterally adopted the “Law on Guarantees? which aimed to resolve the “Roman question?The Pope received privileges similar to those of the king of Italy - a maintenance of three million lire, the right to receive and send ambassadors, the freedom to hold conclaves, and the freedom of postal and telegraph communications with other states.And although Pope Pius IX refused to accept the law, Rome became the capital of the young Italian kingdom, and the Pope could not do anything about it.;X;X;X;X;X;X;;
form_byzantine_empire_title;"""King of Kings, King of Kings""";X;X;X;X;X;X;;
form_byzantine_empire_desc;"After the fall of the Ottoman Empire, the claims of the Turkish rulers to Roman imperial titles became only memories.Constantinople, ""desired"", became Greek again, after several centuries of occupation by Turkish barbarians.And this means that we, the proud descendants of the great Romans, can proclaim the restoration of the great state of our ancestors - the Byzantine Empire!";X;X;X;X;X;X;;
form_israel_title;Balfour Declaration;X;X;X;X;X;X;;
form_israel_desc;"""His Majesty's Government is contemplating the establishment of a national home for the Jewish people in Palestine and will make every effort to promote this goal ..."" we can express a favorable attitude towards the restoration of the Jewish state there.";X;X;X;X;X;X;;
BYZ_absolute_monarchy;Byzantine Empire;X;X;X;X;X;X;;
BYZ_proletarian_dictatorship;Commonwealth of Red Fems;X;X;X;X;X;X;;
BAB;Babylon;X;X;X;X;X;X;;
BAB_ADJ;Babylon.;X;X;X;X;X;X;;
