PROV1;Ситка;X
PROV2;Якутат;X
PROV3;Кенаи;X
PROV4;Датч-Харбор;X
PROV5;Бетель;X
PROV6;Уайтхорс;X
PROV7;Доусон;X
PROV8;Росс-Ривер;X
PROV9;Форт Симпсон;X
PROV10;Инувик;X
PROV11;Эко-Бей;X
PROV12;Релианс;X
PROV13;Ванкувер;X
PROV14;Остров Ванкувер;X
PROV15;Принс-Руперт;X
PROV16;Гленора;X
PROV17;Атлин;X
PROV18;Форт Сент-Джон;X
PROV19;Принс-Джордж;X
PROV20;Келоуна;X
PROV21;Вернон;X
PROV22;Эдмонтон;X
PROV23;Атабаска-Лэндингз;X
PROV24;Джаспер;X
PROV25;Банф;X
PROV26;Калгари;X
PROV27;Денвуд;X
PROV28;Форт-Маклеод;X
PROV29;Медисин-Хат;X
PROV30;Риджайна;X
PROV31;Стэнли;X
PROV32;Принс-Альберт;X
PROV33;Асквит;X
PROV34;Саскатун;X
PROV35;Мапл-Крик;X
PROV36;Виннипег;X
PROV37;Черчилл;X
PROV38;Индиан-Лейкс;X
PROV39;Норвей-Хаус;X
PROV40;Дофин;X
PROV41;Брэндон;X
PROV42;Пембина;X
PROV43;Эскимо-Пойнт;X
PROV44;Эко-Бей;X
PROV45;Баффинова земля;X
PROV46;Торонто;X
PROV47;Форт Северн;X
PROV48;Форт-Олбани;X
PROV49;Драйден;X
PROV50;Тандер-Бей;X
PROV51;Су-Сент-Мари;X
PROV52;Садбери;X
PROV53;Барри;X
PROV54;Виндзор;X
PROV55;Гамильтон;X
PROV56;Кингстон;X
PROV57;Оттава;X
PROV58;Монреаль;X
PROV59;Нитчикун;X
PROV60;Форт Руперт;X
PROV61;Чикутими;X
PROV62;Септ-Ильс;X
PROV63;Темискаминг;X
PROV64;Труа-Ривьер;X
PROV65;Квебек-Сити;X
PROV66;Шербрук;X
PROV67;Римуски;X
PROV68;Фредериктон;X
PROV69;Батерст;X
PROV70;О-в Принца Эдварда;X
PROV71;Галифакс;X
PROV72;Труро;X
PROV73;О-в Кейп-Бретон;X
PROV74;Сент-Джонс;X
PROV75;Миллертаун;X
PROV76;Хопдейл;X
PROV77;Сен-Пьер и Микелон;X
PROV78;Сиэтл;X
PROV79;Спокан;X
PROV80;Валла-валла;X
PROV81;Портленд;X
PROV82;Бейкер-Сити;X
PROV83;Кламат-Фолс;X
PROV84;Сан-Франциско;X
PROV85;Юрика;X
PROV86;Сакраменто;X
PROV87;Монтерей;X
PROV88;Марипоса;X
PROV89;Лос-Анджелес;X
PROV90;Сан-Диего;X
PROV91;Бойсе;X
PROV92;Кер д'Ален;X
PROV93;Покателло;X
PROV94;Карсон-Сити;X
PROV95;Элко;X
PROV96;Лас-Вегас;X
PROV97;Солт-Лейк-Сити;X
PROV98;Лоа;X
PROV99;Моаб;X
PROV100;Финикс;X
PROV101;Флагстафф;X
PROV102;Тусон;X
PROV103;Санта-Фе;X
PROV104;Альбукерке;X
PROV105;Лас-Крусес;X
PROV106;Денвер;X
PROV107;Гранд-Джанкшен;X
PROV108;Аламоса;X
PROV109;Пуэбло;X
PROV110;Шайенн;X
PROV111;Коди;X
PROV112;Каспер;X
PROV113;Боземан;X
PROV114;Мизула;X
PROV115;Грейт-Фолс;X
PROV116;Биллингс;X
PROV117;Бисмарк;X
PROV118;Майнот;X
PROV119;Дикинсон;X
PROV120;Су-Фолс;X
PROV121;Дюпре;X
PROV122;Рапид-Сити;X
PROV123;Омаха;X
PROV124;Элайнс;X
PROV125;Норт-Платт;X
PROV126;Топека;X
PROV127;Гудленд;X
PROV128;Уичито;X
PROV129;Оклахома-Сити;X
PROV130;Талекуа;X
PROV131;Окмалги;X
PROV132;Хьюстон;X
PROV133;Остин;X
PROV134;Даллас;X
PROV135;Лаббок;X
PROV136;Эль-Пасо;X
PROV137;Сан-Антонио;X
PROV138;Ларедо;X
PROV139;Новый Орлеан;X
PROV140;Батон-Руж;X
PROV141;Лейк-Чарльз;X
PROV142;Шривпорт;X
PROV143;Литл-Рок;X
PROV144;Хот-Спрингс;X
PROV145;Фейетвилл;X
PROV146;Сент-Луис;X
